x,y,z,vz
0,1,9,-4.04018469e+00
0,1,10,-4.01218504e+00
0,1,11,-3.98836859e+00
0,1,12,-3.97746682e+00
0,1,13,-3.97805588e+00
0,1,14,-3.98467040e+00
0,1,15,-3.99252341e+00
0,1,16,-3.99522524e+00
0,1,17,-3.99125225e+00
0,1,18,-3.98576029e+00
0,1,19,-3.98326773e+00
0,1,20,-3.99030299e+00
0,1,21,-4.01055336e+00
0,1,22,-4.03589744e+00
0,1,23,-4.05241518e+00
0,1,24,-4.05687829e+00
0,1,25,-4.05713259e+00
0,1,26,-4.06008496e+00
0,1,27,-4.07216778e+00
0,1,28,-4.09701543e+00
0,1,29,-4.12621162e+00
0,1,30,-4.15308728e+00
0,1,31,-4.17349061e+00
0,1,32,-4.18556623e+00
0,1,33,-4.19772175e+00
0,1,34,-4.21138870e+00
0,1,35,-4.22461039e+00
0,1,36,-4.23243851e+00
0,1,37,-4.23448368e+00
0,1,38,-4.23494185e+00
0,1,39,-4.23827259e+00
0,1,40,-4.24509931e+00
0,1,41,-4.25481082e+00
0,1,42,-4.26162474e+00
0,1,43,-4.26407247e+00
0,1,44,-4.26783983e+00
0,1,45,-4.28385415e+00
0,1,46,-4.32256169e+00
0,1,47,-4.39757406e+00
0,1,48,-4.53961166e+00
0,1,49,-4.80953100e+00
0,1,50,-5.60447423e+00
0,1,51,nan
0,1,52,nan
0,1,53,nan
0,1,54,nan
0,1,55,nan
0,1,56,nan
0,1,57,nan
0,1,58,nan
0,1,59,nan
0,1,60,nan
0,1,61,nan
0,1,62,nan
0,1,63,nan
0,1,64,nan
0,1,65,nan
0,1,66,nan
0,1,67,nan
0,1,68,nan
0,1,69,nan
0,1,70,nan
0,1,71,nan
0,1,72,nan
0,1,73,nan
0,1,74,nan
0,1,75,nan
0,1,76,nan
0,1,77,nan
0,1,78,nan
0,1,79,nan
0,1,80,nan
0,1,81,nan
0,1,82,nan
0,1,83,nan
0,1,84,nan
0,1,85,nan
0,1,86,nan
0,1,87,nan
0,1,88,nan
0,1,89,nan
0,1,90,nan
0,1,91,nan
0,1,92,nan
0,1,93,nan
0,1,94,nan
0,1,95,nan
0,1,96,nan
0,1,97,nan
0,1,98,nan
0,1,99,nan
0,2,0,-4.93749897e+00
0,2,1,-4.40931893e+00
0,2,2,-4.21122049e+00
0,2,3,-4.11431730e+00
0,2,4,-4.07225973e+00
0,2,5,-4.05885539e+00
0,2,6,-4.06111543e+00
0,2,7,-4.06693729e+00
0,2,8,-4.06703931e+00
0,2,9,-4.04932698e+00
0,2,10,-4.01661717e+00
0,2,11,-3.98797465e+00
0,2,12,-3.97634494e+00
0,2,13,-3.97889145e+00
0,2,14,-3.99061117e+00
0,2,15,-4.00544451e+00
0,2,16,-4.01240910e+00
0,2,17,-4.00946408e+00
0,2,18,-4.00275925e+00
0,2,19,-3.99892565e+00
0,2,20,-4.00517008e+00
0,2,21,-4.02571998e+00
0,2,22,-4.05232170e+00
0,2,23,-4.06797185e+00
0,2,24,-4.06883282e+00
0,2,25,-4.06454912e+00
0,2,26,-4.06339739e+00
0,2,27,-4.07091208e+00
0,2,28,-4.09046525e+00
0,2,29,-4.12010093e+00
0,2,30,-4.15089614e+00
0,2,31,-4.17897099e+00
0,2,32,-4.20087505e+00
0,2,33,-4.21635186e+00
0,2,34,-4.22584819e+00
0,2,35,-4.22934198e+00
0,2,36,-4.22961744e+00
0,2,37,-4.22710172e+00
0,2,38,-4.22011133e+00
0,2,39,-4.21112509e+00
0,2,40,-4.20522212e+00
0,2,41,-4.20438088e+00
