x,y,z,Fx
0,7,18,6.08062414e+01
0,7,19,5.94589500e+01
0,7,20,nan
0,7,21,nan
0,7,22,6.03582656e+01
0,7,23,5.96286039e+01
0,7,24,5.78830577e+01
0,7,25,6.00463234e+01
0,7,26,5.90538736e+01
0,7,27,5.57596301e+01
0,7,28,nan
0,7,29,nan
0,7,30,nan
0,7,31,nan
0,7,32,nan
0,7,33,nan
0,7,34,6.04502757e+01
0,7,35,5.84488894e+01
0,7,36,nan
0,7,37,5.89991132e+01
0,7,38,nan
0,7,39,6.06256215e+01
0,7,40,6.06706635e+01
0,7,41,5.77434548e+01
0,7,42,5.75224002e+01
0,7,43,nan
0,7,44,5.77700739e+01
0,7,45,5.86530920e+01
0,7,46,5.86112384e+01
0,7,47,nan
0,7,48,5.74524452e+01
0,7,49,5.86292002e+01
0,7,50,6.20798490e+01
0,7,51,6.32578875e+01
0,7,52,5.59950932e+01
0,7,53,5.46227625e+01
0,7,54,nan
0,7,55,nan
0,7,56,nan
0,7,57,nan
0,7,58,nan
0,7,59,nan
0,7,60,5.93223835e+01
0,7,61,5.84670653e+01
0,7,62,6.14057578e+01
0,7,63,5.88338737e+01
0,7,64,5.85175671e+01
0,7,65,5.90558774e+01
0,7,66,6.03325573e+01
0,7,67,6.12989982e+01
0,7,68,6.02589598e+01
0,7,69,nan
0,7,70,5.89641343e+01
0,7,71,nan
0,7,72,nan
0,7,73,nan
0,7,74,nan
0,7,75,nan
0,7,76,5.53721597e+01
0,7,77,nan
0,7,78,6.38526052e+01
0,7,79,6.48241556e+01
0,7,80,6.26514456e+01
0,7,81,nan
0,7,82,6.09606106e+01
0,7,83,5.75830810e+01
0,7,84,5.79042002e+01
0,7,85,5.84021646e+01
0,7,86,6.09211845e+01
0,7,87,nan
0,7,88,nan
0,7,89,5.94926373e+01
0,7,90,5.79740172e+01
0,7,91,5.98573824e+01
0,7,92,nan
0,7,93,nan
0,7,94,nan
0,7,95,5.98935013e+01
0,7,96,5.69871260e+01
0,7,97,nan
0,7,98,6.32212487e+01
0,7,99,nan
0,8,0,nan
0,8,1,nan
0,8,2,nan
0,8,3,5.66277800e+01
0,8,4,5.57596816e+01
0,8,5,6.32516084e+01
0,8,6,5.59214446e+01
0,8,7,nan
0,8,8,nan
0,8,9,nan
0,8,10,nan
0,8,11,6.25911092e+01
0,8,12,nan
0,8,13,nan
0,8,14,nan
0,8,15,nan
0,8,16,nan
0,8,17,6.00821514e+01
0,8,18,5.98829868e+01
0,8,19,6.08611857e+01
0,8,20,5.77070348e+01
0,8,21,nan
0,8,22,5.93302304e+01
0,8,23,5.57360301e+01
0,8,24,5.79195084e+01
0,8,25,5.88840096e+01
0,8,26,5.98819410e+01
0,8,27,5.50160777e+01
0,8,28,5.71299038e+01
0,8,29,nan
0,8,30,nan
0,8,31,6.03316496e+01
0,8,32,5.93979286e+01
0,8,33,5.77828587e+01
0,8,34,5.97414606e+01
0,8,35,5.96244846e+01
0,8,36,5.94743505e+01
0,8,37,nan
0,8,38,nan
0,8,39,nan
0,8,40,5.71554919e+01
0,8,41,6.06434705e+01
0,8,42,5.77288477e+01
0,8,43,nan
0,8,44,6.04113140e+01
0,8,45,nan
0,8,46,6.37990369e+01
0,8,47,nan
0,8,48,nan
0,8,49,5.96738544e+01
0,8,50,5.81015708e+01
0,8,51,5.76782530e+01
0,8,52,nan
0,8,53,6.06837245e+01
0,8,54,nan
0,8,55,nan
0,8,56,6.04075472e+01
0,8,57,nan
0,8,58,nan
0,8,59,nan
0,8,60,nan
0,8,61,5.99501648e+01
0,8,62,5.83246655e+01
0,8,63,5.97078242e+01
0,8,64,5.71351380e+01
0,8,65,5.57982600e+01
0,8,66,nan
0,8,67,6.32201945e+01
0,8,68,6.21632874e+01
0,8,69,6.29978765e+01
0,8,70,6.38104568e+01
0,8,71,6.41368011e+01
0,8,72,nan
0,8,73,nan
0,8,74,nan
0,8,75,nan
0,8,76,nan
0,8,77,nan
0,8,78,6.40770824e+01
0,8,79,6.17800085e+01
0,8,80,nan
0,8,81,nan
0,8,82,5.98417346e+01
0,8,83,5.75205031e+01
0,8,84,5.88689737e+01
0,8,85,5.88567987e+01
0,8,86,5.97894529e+01
0,8,87,5.92469666e+01
0,8,88,nan
0,8,89,5.65886735e+01
0,8,90,6.05698414e+01
0,8,91,5.77846808e+01
0,8,92,6.09344675e+01
0,8,93,5.93458321e+01
0,8,94,6.11320780e+01
0,8,95,5.78432232e+01
0,8,96,6.02139199e+01
0,8,97,6.21311711e+01
0,8,98,6.32383454e+01
0,8,99,nan
0,9,0,nan
0,9,1,nan
0,9,2,5.65551128e+01
0,9,3,5.94249352e+01
0,9,4,nan
0,9,5,nan
0,9,6,nan
0,9,7,5.94633709e+01
0,9,8,nan
0,9,9,nan
0,9,10,6.26138442e+01
0,9,11,6.04283102e+01
0,9,12,5.97227319e+01
0,9,13,nan
0,9,14,nan
0,9,15,nan
0,9,16,nan
0,9,17,nan
